Sno.,Text,Sentiment,Timestamp,User,Platform,Weekday,TimePeriod,Likes,Comments,Shares,Engagement,TextLength,WordCount,HashtagCount,MentionCount,EmojiCount,ExclamationCount,Hour,IsWeekend,EngagementPerWord,LikeRatio,CommentRatio,ShareRatio
1, Enjoying a beautiful day at the park!              ,0,2023-01-15 12:30:00, User123      ,Twitter ,Sunday,Afternoon,152,109,60,321,52,7,0,0,1,1,12,True,40.125,0.4720496894409938,0.3385093167701863,0.18633540372670807
2, Traffic was terrible this morning.                 ,1,2023-01-15 08:45:00, CommuterX    ,Twitter ,Sunday,Morning,485,18,2,505,52,5,0,0,1,0,8,True,84.16666666666667,0.958498023715415,0.03557312252964427,0.003952569169960474
3, Just finished an amazing workout! ðª               ,0,2023-01-15 15:45:00, FitnessFan   ,Instagram ,Sunday,Afternoon,910,64,60,1034,54,6,0,0,3,1,15,True,147.71428571428572,0.8792270531400966,0.06183574879227053,0.057971014492753624
4, Excited about the upcoming weekend getaway!        ,0,2023-01-15 18:20:00, AdventureX   ,Facebook ,Sunday,Evening,320,34,5,359,52,6,0,0,1,1,18,True,51.285714285714285,0.8888888888888888,0.09444444444444444,0.013888888888888888
5, Trying out a new recipe for dinner tonight.        ,2,2023-01-15 19:55:00, ChefCook     ,Instagram ,Sunday,Evening,156,39,44,239,52,8,0,0,1,0,19,True,26.555555555555557,0.65,0.1625,0.18333333333333332
6, Feeling grateful for the little things in life.    ,0,2023-01-16 09:10:00, GratitudeNow ,Twitter ,Monday,Morning,121,169,27,317,52,8,0,0,1,0,9,False,35.22222222222222,0.3805031446540881,0.5314465408805031,0.08490566037735849
7, Rainy days call for cozy blankets and hot cocoa.   ,0,2023-01-16 14:45:00, RainyDays    ,Facebook ,Monday,Afternoon,750,9,32,791,52,9,0,0,1,0,14,False,79.1,0.946969696969697,0.011363636363636364,0.04040404040404041
8, The new movie release is a must-watch!             ,0,2023-01-16 19:30:00, MovieBuff    ,Instagram ,Monday,Evening,70,87,21,178,52,7,0,0,2,1,19,False,22.25,0.39106145251396646,0.4860335195530726,0.11731843575418995
9, Political discussions heating up on the timeline.  ,1,2023-01-17 08:00:00, DebateTalk   ,Twitter ,Tuesday,Morning,664,127,8,799,52,7,0,0,1,0,8,False,99.875,0.83,0.15875,0.01
10, Missing summer vibes and beach days.               ,2,2023-01-17 12:20:00, BeachLover   ,Facebook ,Tuesday,Afternoon,171,82,72,325,52,6,0,0,1,0,12,False,46.42857142857143,0.5245398773006135,0.25153374233128833,0.22085889570552147
11, Just published a new blog post. Check it out!      ,0,2023-01-17 15:15:00, BloggerX     ,Instagram ,Tuesday,Afternoon,516,158,50,724,52,9,0,0,2,1,15,False,72.4,0.7117241379310345,0.21793103448275863,0.06896551724137931
12, Feeling a bit under the weather today.             ,1,2023-01-18 10:30:00, WellnessCheck,Twitter ,Wednesday,Morning,264,66,67,397,52,7,0,0,1,0,10,False,49.625,0.6633165829145728,0.1658291457286432,0.16834170854271358
13, Exploring the city's hidden gems.                  ,0,2023-01-18 14:50:00, UrbanExplorer,Facebook ,Wednesday,Afternoon,380,136,44,560,52,5,0,0,2,0,14,False,93.33333333333333,0.6773618538324421,0.24242424242424243,0.0784313725490196
14," New year, new fitness goals! ðª                    ",0,2023-01-18 18:00:00, FitJourney   ,Instagram ,Wednesday,Evening,508,93,58,659,54,6,0,0,3,1,18,False,94.14285714285714,0.7696969696969697,0.1409090909090909,0.08787878787878788
15, Technology is changing the way we live.            ,2,2023-01-19 09:45:00, TechEnthusiast,Twitter ,Thursday,Morning,137,46,3,186,52,7,0,0,1,0,9,False,23.25,0.732620320855615,0.24598930481283424,0.016042780748663103
16, Reflecting on the past and looking ahead.          ,0,2023-01-19 13:20:00, Reflections  ,Facebook ,Thursday,Afternoon,422,93,86,601,52,7,0,0,1,0,13,False,75.125,0.7009966777408638,0.15448504983388706,0.14285714285714285
17, Just adopted a cute furry friend! ð¾              ,0,2023-01-19 17:10:00, PetAdopter   ,Instagram ,Thursday,Evening,149,150,70,369,53,7,0,0,3,1,17,False,46.125,0.4027027027027027,0.40540540540540543,0.1891891891891892
18, Late-night gaming session with friends.            ,0,2023-01-20 00:05:00, GamerX       ,Twitter ,Friday,Night,921,44,2,967,52,5,0,0,2,0,0,False,161.16666666666666,0.9514462809917356,0.045454545454545456,0.002066115702479339
